,Totales Territoriales,Comunidades y Ciudades Autónomas,Provincias,Viajeros y pernoctaciones,Periodo,Total,Año,Mes,Nom_mes
93004,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2016M12,39.697,2016,12,Diciembre
93005,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2016M11,44.509,2016,11,Noviembre
93006,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2016M10,64.193,2016,10,Octubre
93007,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2016M09,63.612,2016,9,Septiembre
93008,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2016M08,71.385,2016,8,Agosto
93009,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2016M07,68.578,2016,7,Julio
93010,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2016M06,55.414,2016,6,Junio
93011,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2016M05,54.660,2016,5,Mayo
93012,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2016M04,55.039,2016,4,Abril
93013,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2016M03,55.367,2016,3,Marzo
93014,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2016M02,39.530,2016,2,Febrero
93015,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2016M01,32.072,2016,1,Enero
93016,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2015M12,41.288,2015,12,Diciembre
93017,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2015M11,39.248,2015,11,Noviembre
93018,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2015M10,64.905,2015,10,Octubre
93019,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2015M09,61.365,2015,9,Septiembre
93020,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2015M08,80.373,2015,8,Agosto
93021,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2015M07,61.887,2015,7,Julio
93022,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2015M06,54.018,2015,6,Junio
93023,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2015M05,57.230,2015,5,Mayo
93024,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2015M04,56.654,2015,4,Abril
93025,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2015M03,48.989,2015,3,Marzo
93026,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2015M02,37.382,2015,2,Febrero
93027,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2015M01,27.547,2015,1,Enero
93028,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2014M12,41.599,2014,12,Diciembre
93029,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2014M11,41.788,2014,11,Noviembre
93030,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2014M10,57.168,2014,10,Octubre
93031,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2014M09,55.014,2014,9,Septiembre
93032,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2014M08,69.842,2014,8,Agosto
93033,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2014M07,62.274,2014,7,Julio
93034,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2014M06,52.021,2014,6,Junio
93035,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2014M05,61.365,2014,5,Mayo
93036,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2014M04,61.884,2014,4,Abril
93037,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2014M03,45.971,2014,3,Marzo
93038,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2014M02,35.583,2014,2,Febrero
93039,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2014M01,30.717,2014,1,Enero
93040,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2013M12,38.928,2013,12,Diciembre
93041,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2013M11,39.750,2013,11,Noviembre
93042,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2013M10,57.031,2013,10,Octubre
93043,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2013M09,56.237,2013,9,Septiembre
93044,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2013M08,68.442,2013,8,Agosto
93045,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2013M07,57.362,2013,7,Julio
93046,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2013M06,50.304,2013,6,Junio
93047,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2013M05,52.781,2013,5,Mayo
93048,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2013M04,47.043,2013,4,Abril
93049,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2013M03,50.346,2013,3,Marzo
93050,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2013M02,34.720,2013,2,Febrero
93051,Total Nacional,11 Extremadura,06 Badajoz,Viajero,2013M01,26.612,2013,1,Enero
94800,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2025M04,67.091,2025,4,Abril
94801,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2025M03,48.321,2025,3,Marzo
94802,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2025M02,42.413,2025,2,Febrero
94803,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2025M01,34.933,2025,1,Enero
94804,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2024M12,46.872,2024,12,Diciembre
94805,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2024M11,56.133,2024,11,Noviembre
94806,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2024M10,65.098,2024,10,Octubre
94807,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2024M09,69.578,2024,9,Septiembre
94808,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2024M08,81.962,2024,8,Agosto
94809,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2024M07,65.943,2024,7,Julio
94810,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2024M06,61.312,2024,6,Junio
94811,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2024M05,69.071,2024,5,Mayo
94812,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2024M04,63.177,2024,4,Abril
94813,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2024M03,60.170,2024,3,Marzo
94814,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2024M02,44.716,2024,2,Febrero
94815,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2024M01,36.448,2024,1,Enero
94816,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2023M12,45.025,2023,12,Diciembre
94817,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2023M11,49.302,2023,11,Noviembre
94818,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2023M10,60.269,2023,10,Octubre
94819,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2023M09,65.418,2023,9,Septiembre
94820,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2023M08,79.227,2023,8,Agosto
94821,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2023M07,64.397,2023,7,Julio
94822,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2023M06,57.630,2023,6,Junio
94823,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2023M05,60.289,2023,5,Mayo
94824,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2023M04,71.110,2023,4,Abril
94825,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2023M03,57.590,2023,3,Marzo
94826,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2023M02,41.911,2023,2,Febrero
94827,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2023M01,35.240,2023,1,Enero
94828,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2022M12,39.829,2022,12,Diciembre
94829,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2022M11,49.568,2022,11,Noviembre
94830,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2022M10,63.529,2022,10,Octubre
94831,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2022M09,65.229,2022,9,Septiembre
94832,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2022M08,72.981,2022,8,Agosto
94833,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2022M07,63.335,2022,7,Julio
94834,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2022M06,60.083,2022,6,Junio
94835,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2022M05,59.456,2022,5,Mayo
94836,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2022M04,69.430,2022,4,Abril
94837,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2022M03,47.446,2022,3,Marzo
94838,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2022M02,40.922,2022,2,Febrero
94839,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2022M01,29.525,2022,1,Enero
94840,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2021M12,39.707,2021,12,Diciembre
94841,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2021M11,44.963,2021,11,Noviembre
94842,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2021M10,59.765,2021,10,Octubre
94843,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2021M09,60.663,2021,9,Septiembre
94844,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2021M08,79.499,2021,8,Agosto
94845,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2021M07,59.020,2021,7,Julio
94846,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2021M06,45.415,2021,6,Junio
94847,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2021M05,30.694,2021,5,Mayo
94848,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2021M04,17.970,2021,4,Abril
94849,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2021M03,22.273,2021,3,Marzo
94850,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2021M02,10.557,2021,2,Febrero
94851,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2021M01,6.804,2021,1,Enero
94852,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2020M12,15.081,2020,12,Diciembre
94853,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2020M11,16.871,2020,11,Noviembre
94854,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2020M10,28.216,2020,10,Octubre
94855,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2020M09,34.949,2020,9,Septiembre
94856,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2020M08,55.054,2020,8,Agosto
94857,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2020M07,37.768,2020,7,Julio
94858,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2020M06,8.688,2020,6,Junio
94859,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2020M05,1.299,2020,5,Mayo
94860,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2020M04,0,2020,4,Abril
94861,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2020M03,19.306,2020,3,Marzo
94862,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2020M02,44.635,2020,2,Febrero
94863,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2020M01,37.018,2020,1,Enero
94864,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2019M12,41.965,2019,12,Diciembre
94865,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2019M11,49.864,2019,11,Noviembre
94866,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2019M10,62.369,2019,10,Octubre
94867,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2019M09,62.866,2019,9,Septiembre
94868,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2019M08,85.560,2019,8,Agosto
94869,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2019M07,68.051,2019,7,Julio
94870,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2019M06,63.890,2019,6,Junio
94871,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2019M05,65.961,2019,5,Mayo
94872,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2019M04,73.732,2019,4,Abril
94873,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2019M03,59.950,2019,3,Marzo
94874,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2019M02,38.367,2019,2,Febrero
94875,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2019M01,34.460,2019,1,Enero
94876,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2018M12,44.301,2018,12,Diciembre
94877,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2018M11,51.416,2018,11,Noviembre
94878,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2018M10,64.801,2018,10,Octubre
94879,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2018M09,64.186,2018,9,Septiembre
94880,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2018M08,85.850,2018,8,Agosto
94881,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2018M07,66.561,2018,7,Julio
94882,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2018M06,60.567,2018,6,Junio
94883,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2018M05,65.007,2018,5,Mayo
94884,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2018M04,67.523,2018,4,Abril
94885,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2018M03,55.358,2018,3,Marzo
94886,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2018M02,40.839,2018,2,Febrero
94887,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2018M01,32.822,2018,1,Enero
94888,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2017M12,43.246,2017,12,Diciembre
94889,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2017M11,46.428,2017,11,Noviembre
94890,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2017M10,68.055,2017,10,Octubre
94891,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2017M09,67.365,2017,9,Septiembre
94892,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2017M08,83.277,2017,8,Agosto
94893,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2017M07,65.286,2017,7,Julio
94894,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2017M06,55.243,2017,6,Junio
94895,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2017M05,58.685,2017,5,Mayo
94896,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2017M04,77.307,2017,4,Abril
94897,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2017M03,52.249,2017,3,Marzo
94898,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2017M02,38.816,2017,2,Febrero
94899,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2017M01,30.983,2017,1,Enero
94900,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2016M12,40.890,2016,12,Diciembre
94901,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2016M11,43.258,2016,11,Noviembre
94902,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2016M10,62.438,2016,10,Octubre
94903,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2016M09,61.859,2016,9,Septiembre
94904,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2016M08,82.996,2016,8,Agosto
94905,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2016M07,69.098,2016,7,Julio
94906,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2016M06,58.284,2016,6,Junio
94907,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2016M05,63.824,2016,5,Mayo
94908,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2016M04,60.494,2016,4,Abril
94909,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2016M03,60.639,2016,3,Marzo
94910,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2016M02,41.684,2016,2,Febrero
94911,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2016M01,32.377,2016,1,Enero
94912,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2015M12,43.971,2015,12,Diciembre
94913,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2015M11,42.939,2015,11,Noviembre
94914,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2015M10,63.974,2015,10,Octubre
94915,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2015M09,59.255,2015,9,Septiembre
94916,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2015M08,79.124,2015,8,Agosto
94917,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2015M07,61.313,2015,7,Julio
94918,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2015M06,54.410,2015,6,Junio
94919,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2015M05,60.846,2015,5,Mayo
94920,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2015M04,67.576,2015,4,Abril
94921,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2015M03,50.769,2015,3,Marzo
94922,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2015M02,37.021,2015,2,Febrero
94923,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2015M01,25.854,2015,1,Enero
94924,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2014M12,36.762,2014,12,Diciembre
94925,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2014M11,40.466,2014,11,Noviembre
94926,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2014M10,53.580,2014,10,Octubre
94927,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2014M09,53.129,2014,9,Septiembre
94928,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2014M08,73.157,2014,8,Agosto
94929,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2014M07,49.510,2014,7,Julio
94930,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2014M06,47.938,2014,6,Junio
94931,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2014M05,58.312,2014,5,Mayo
94932,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2014M04,64.629,2014,4,Abril
94933,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2014M03,41.624,2014,3,Marzo
94934,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2014M02,33.737,2014,2,Febrero
94935,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2014M01,26.567,2014,1,Enero
94936,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2013M12,34.411,2013,12,Diciembre
94937,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2013M11,47.545,2013,11,Noviembre
94938,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2013M10,51.334,2013,10,Octubre
94939,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2013M09,54.219,2013,9,Septiembre
94940,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2013M08,71.088,2013,8,Agosto
94941,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2013M07,51.810,2013,7,Julio
94942,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2013M06,52.894,2013,6,Junio
94943,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2013M05,59.232,2013,5,Mayo
94944,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2013M04,56.637,2013,4,Abril
94945,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2013M03,51.537,2013,3,Marzo
94946,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2013M02,32.825,2013,2,Febrero
94947,Total Nacional,11 Extremadura,10 Cáceres,Viajero,2013M01,24.129,2013,1,Enero
96696,Total Nacional,12 Galicia,,Viajero,2025M04,438.624,2025,4,Abril
96697,Total Nacional,12 Galicia,,Viajero,2025M03,276.916,2025,3,Marzo
96698,Total Nacional,12 Galicia,,Viajero,2025M02,207.958,2025,2,Febrero
96699,Total Nacional,12 Galicia,,Viajero,2025M01,179.837,2025,1,Enero
96700,Total Nacional,12 Galicia,,Viajero,2024M12,268.632,2024,12,Diciembre
96701,Total Nacional,12 Galicia,,Viajero,2024M11,299.163,2024,11,Noviembre
96702,Total Nacional,12 Galicia,,Viajero,2024M10,510.524,2024,10,Octubre
96703,Total Nacional,12 Galicia,,Viajero,2024M09,632.434,2024,9,Septiembre
96704,Total Nacional,12 Galicia,,Viajero,2024M08,767.759,2024,8,Agosto
96705,Total Nacional,12 Galicia,,Viajero,2024M07,612.890,2024,7,Julio
96706,Total Nacional,12 Galicia,,Viajero,2024M06,532.268,2024,6,Junio
96707,Total Nacional,12 Galicia,,Viajero,2024M05,552.134,2024,5,Mayo
96708,Total Nacional,12 Galicia,,Viajero,2024M04,402.773,2024,4,Abril
96709,Total Nacional,12 Galicia,,Viajero,2024M03,306.585,2024,3,Marzo
96710,Total Nacional,12 Galicia,,Viajero,2024M02,204.565,2024,2,Febrero
96711,Total Nacional,12 Galicia,,Viajero,2024M01,174.064,2024,1,Enero
96712,Total Nacional,12 Galicia,,Viajero,2023M12,278.481,2023,12,Diciembre
96713,Total Nacional,12 Galicia,,Viajero,2023M11,269.894,2023,11,Noviembre
96714,Total Nacional,12 Galicia,,Viajero,2023M10,483.524,2023,10,Octubre
96715,Total Nacional,12 Galicia,,Viajero,2023M09,597.327,2023,9,Septiembre
96716,Total Nacional,12 Galicia,,Viajero,2023M08,719.933,2023,8,Agosto
96717,Total Nacional,12 Galicia,,Viajero,2023M07,598.106,2023,7,Julio
96718,Total Nacional,12 Galicia,,Viajero,2023M06,504.037,2023,6,Junio
96719,Total Nacional,12 Galicia,,Viajero,2023M05,475.038,2023,5,Mayo
96720,Total Nacional,12 Galicia,,Viajero,2023M04,429.947,2023,4,Abril
96721,Total Nacional,12 Galicia,,Viajero,2023M03,250.877,2023,3,Marzo
96722,Total Nacional,12 Galicia,,Viajero,2023M02,196.652,2023,2,Febrero
96723,Total Nacional,12 Galicia,,Viajero,2023M01,176.532,2023,1,Enero
96724,Total Nacional,12 Galicia,,Viajero,2022M12,249.612,2022,12,Diciembre
96725,Total Nacional,12 Galicia,,Viajero,2022M11,253.723,2022,11,Noviembre
96726,Total Nacional,12 Galicia,,Viajero,2022M10,457.925,2022,10,Octubre
96727,Total Nacional,12 Galicia,,Viajero,2022M09,567.441,2022,9,Septiembre
96728,Total Nacional,12 Galicia,,Viajero,2022M08,723.384,2022,8,Agosto
96729,Total Nacional,12 Galicia,,Viajero,2022M07,619.047,2022,7,Julio
96730,Total Nacional,12 Galicia,,Viajero,2022M06,481.175,2022,6,Junio
96731,Total Nacional,12 Galicia,,Viajero,2022M05,441.688,2022,5,Mayo
96732,Total Nacional,12 Galicia,,Viajero,2022M04,374.977,2022,4,Abril
96733,Total Nacional,12 Galicia,,Viajero,2022M03,216.493,2022,3,Marzo
96734,Total Nacional,12 Galicia,,Viajero,2022M02,179.553,2022,2,Febrero
96735,Total Nacional,12 Galicia,,Viajero,2022M01,128.465,2022,1,Enero
96736,Total Nacional,12 Galicia,,Viajero,2021M12,202.542,2021,12,Diciembre
96737,Total Nacional,12 Galicia,,Viajero,2021M11,230.884,2021,11,Noviembre
96738,Total Nacional,12 Galicia,,Viajero,2021M10,399.130,2021,10,Octubre
96739,Total Nacional,12 Galicia,,Viajero,2021M09,464.492,2021,9,Septiembre
96740,Total Nacional,12 Galicia,,Viajero,2021M08,655.951,2021,8,Agosto
96741,Total Nacional,12 Galicia,,Viajero,2021M07,498.954,2021,7,Julio
96742,Total Nacional,12 Galicia,,Viajero,2021M06,270.110,2021,6,Junio
96743,Total Nacional,12 Galicia,,Viajero,2021M05,154.200,2021,5,Mayo
96744,Total Nacional,12 Galicia,,Viajero,2021M04,100.896,2021,4,Abril
96745,Total Nacional,12 Galicia,,Viajero,2021M03,87.430,2021,3,Marzo
96746,Total Nacional,12 Galicia,,Viajero,2021M02,42.639,2021,2,Febrero
96747,Total Nacional,12 Galicia,,Viajero,2021M01,43.847,2021,1,Enero
96748,Total Nacional,12 Galicia,,Viajero,2020M12,53.096,2020,12,Diciembre
96749,Total Nacional,12 Galicia,,Viajero,2020M11,53.263,2020,11,Noviembre
96750,Total Nacional,12 Galicia,,Viajero,2020M10,142.293,2020,10,Octubre
96751,Total Nacional,12 Galicia,,Viajero,2020M09,211.556,2020,9,Septiembre
96752,Total Nacional,12 Galicia,,Viajero,2020M08,396.344,2020,8,Agosto
96753,Total Nacional,12 Galicia,,Viajero,2020M07,264.759,2020,7,Julio
96754,Total Nacional,12 Galicia,,Viajero,2020M06,56.948,2020,6,Junio
96755,Total Nacional,12 Galicia,,Viajero,2020M05,5.047,2020,5,Mayo
96756,Total Nacional,12 Galicia,,Viajero,2020M04,0,2020,4,Abril
96757,Total Nacional,12 Galicia,,Viajero,2020M03,89.509,2020,3,Marzo
96758,Total Nacional,12 Galicia,,Viajero,2020M02,206.955,2020,2,Febrero
96759,Total Nacional,12 Galicia,,Viajero,2020M01,180.317,2020,1,Enero
96760,Total Nacional,12 Galicia,,Viajero,2019M12,239.907,2019,12,Diciembre
96761,Total Nacional,12 Galicia,,Viajero,2019M11,241.546,2019,11,Noviembre
96762,Total Nacional,12 Galicia,,Viajero,2019M10,414.582,2019,10,Octubre
96763,Total Nacional,12 Galicia,,Viajero,2019M09,528.165,2019,9,Septiembre
96764,Total Nacional,12 Galicia,,Viajero,2019M08,660.807,2019,8,Agosto
96765,Total Nacional,12 Galicia,,Viajero,2019M07,538.734,2019,7,Julio
96766,Total Nacional,12 Galicia,,Viajero,2019M06,458.837,2019,6,Junio
96767,Total Nacional,12 Galicia,,Viajero,2019M05,425.307,2019,5,Mayo
96768,Total Nacional,12 Galicia,,Viajero,2019M04,361.936,2019,4,Abril
96769,Total Nacional,12 Galicia,,Viajero,2019M03,236.030,2019,3,Marzo
96770,Total Nacional,12 Galicia,,Viajero,2019M02,182.276,2019,2,Febrero
96771,Total Nacional,12 Galicia,,Viajero,2019M01,165.838,2019,1,Enero
96772,Total Nacional,12 Galicia,,Viajero,2018M12,221.861,2018,12,Diciembre
96773,Total Nacional,12 Galicia,,Viajero,2018M11,237.145,2018,11,Noviembre
96774,Total Nacional,12 Galicia,,Viajero,2018M10,384.469,2018,10,Octubre
96775,Total Nacional,12 Galicia,,Viajero,2018M09,491.917,2018,9,Septiembre
96776,Total Nacional,12 Galicia,,Viajero,2018M08,638.335,2018,8,Agosto
96777,Total Nacional,12 Galicia,,Viajero,2018M07,508.165,2018,7,Julio
96778,Total Nacional,12 Galicia,,Viajero,2018M06,426.307,2018,6,Junio
96779,Total Nacional,12 Galicia,,Viajero,2018M05,382.717,2018,5,Mayo
96780,Total Nacional,12 Galicia,,Viajero,2018M04,302.710,2018,4,Abril
96781,Total Nacional,12 Galicia,,Viajero,2018M03,267.366,2018,3,Marzo
96782,Total Nacional,12 Galicia,,Viajero,2018M02,181.676,2018,2,Febrero
96783,Total Nacional,12 Galicia,,Viajero,2018M01,164.009,2018,1,Enero
96784,Total Nacional,12 Galicia,,Viajero,2017M12,202.132,2017,12,Diciembre
96785,Total Nacional,12 Galicia,,Viajero,2017M11,239.171,2017,11,Noviembre
96786,Total Nacional,12 Galicia,,Viajero,2017M10,428.851,2017,10,Octubre
96787,Total Nacional,12 Galicia,,Viajero,2017M09,527.839,2017,9,Septiembre
96788,Total Nacional,12 Galicia,,Viajero,2017M08,705.408,2017,8,Agosto
96789,Total Nacional,12 Galicia,,Viajero,2017M07,588.140,2017,7,Julio
96790,Total Nacional,12 Galicia,,Viajero,2017M06,466.956,2017,6,Junio
96791,Total Nacional,12 Galicia,,Viajero,2017M05,399.010,2017,5,Mayo
96792,Total Nacional,12 Galicia,,Viajero,2017M04,377.253,2017,4,Abril
96793,Total Nacional,12 Galicia,,Viajero,2017M03,222.560,2017,3,Marzo
96794,Total Nacional,12 Galicia,,Viajero,2017M02,179.698,2017,2,Febrero
